planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,08 Jan 2025,Bangkok (BKK),Macau (MFM),NX935,2:05,5:05 PM,5:28 PM,8:35 PM,green,Landed 8:33 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,08 Jan 2025,Macau (MFM),Bangkok (BKK),NX936,2:48,2:00 PM,2:25 PM,4:00 PM,green,Landed 4:13 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,08 Jan 2025,Seoul (ICN),Macau (MFM),NX825,3:42,9:55 AM,10:15 AM,12:55 PM,green,Landed 12:57 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,07 Jan 2025,Macau (MFM),Seoul (ICN),NX826,2:58,6:00 PM,6:18 PM,10:45 PM,green,Landed 10:16 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,07 Jan 2025,Seoul (ICN),Macau (MFM),NX821,3:47,2:05 PM,2:23 PM,5:05 PM,green,Landed 5:10 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,07 Jan 2025,Macau (MFM),Seoul (ICN),NX822,2:58,8:25 AM,8:24 AM,1:05 PM,green,Landed 12:21 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,06 Jan 2025,Xiamen (XMN),Macau (MFM),NX131,1:01,8:15 PM,9:23 PM,9:45 PM,yellow,Landed 10:23 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,06 Jan 2025,Macau (MFM),Xiamen (XMN),NX132,1:15,5:45 PM,6:45 PM,7:10 PM,red,Landed 8:00 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,06 Jan 2025,Seoul (ICN),Macau (MFM),NX821,3:38,2:05 PM,2:20 PM,5:05 PM,green,Landed 4:58 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,06 Jan 2025,Macau (MFM),Seoul (ICN),NX822,2:48,8:25 AM,8:23 AM,1:05 PM,green,Landed 12:10 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,05 Jan 2025,Da Nang (DAD),Macau (MFM),NX977,1:22,11:35 PM,11:43 PM,2:15 AM,green,Landed 2:05 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,05 Jan 2025,Macau (MFM),Da Nang (DAD),NX978,1:29,9:20 PM,9:39 PM,10:05 PM,green,Landed 10:08 PM
