Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,20 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:41,10:35 AM,10:47 AM,1:25 PM,Landed 1:28 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,20 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:49,9:00 AM,9:05 AM,9:55 AM,Landed 9:54 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,19 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:43,10:35 AM,10:45 AM,1:25 PM,Landed 1:28 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,19 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:41,9:00 AM,9:00 AM,9:55 AM,Landed 9:41 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,18 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:39,10:35 AM,10:46 AM,1:25 PM,Landed 1:25 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,18 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:41,9:00 AM,9:00 AM,9:55 AM,Landed 9:41 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,17 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:40,10:35 AM,11:03 AM,1:25 PM,Landed 1:43 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,17 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:43,9:00 AM,9:10 AM,9:55 AM,Landed 9:53 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,17 Jun 2024,Oecusse(OEC),Dili(DIL),8G72,0:28,7:55 AM,8:04 AM,8:12 AM,Landed 8:32 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,17 Jun 2024,Dili(DIL),Oecusse(OEC),8G71,0:24,7:00 AM,6:57 AM,7:17 AM,Landed 7:21 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,16 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:40,1:25 PM,1:35 PM,4:15 PM,Landed 4:15 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,16 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:50,11:45 AM,11:42 AM,12:40 PM,Landed 12:32 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,16 Jun 2024,Singapore(SIN),Dili(DIL),8G992,3:39,1:30 AM,2:50 AM,6:30 AM,Landed 7:29 AM,red
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,15 Jun 2024,Dili(DIL),Singapore(SIN),8G991,3:37,5:00 PM,5:04 PM,8:00 PM,Landed 7:41 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,15 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:40,10:35 AM,10:57 AM,1:25 PM,Landed 1:37 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,15 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:40,9:00 AM,9:04 AM,9:55 AM,Landed 9:44 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,14 Jun 2024,Oecusse(OEC),Dili(DIL),8G72,0:26,4:25 PM,4:46 PM,4:42 PM,Landed 5:11 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,14 Jun 2024,Dili(DIL),Oecusse(OEC),8G71,0:25,3:30 PM,3:30 PM,3:47 PM,Landed 3:55 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,14 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:43,10:35 AM,10:55 AM,1:25 PM,Landed 1:38 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,14 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:39,9:00 AM,9:01 AM,9:55 AM,Landed 9:40 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:42,10:35 AM,10:54 AM,1:25 PM,Landed 1:36 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:44,9:00 AM,9:01 AM,9:55 AM,Landed 9:45 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,12 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:43,10:35 AM,10:43 AM,1:25 PM,Landed 1:25 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,12 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:36,9:00 AM,9:10 AM,9:55 AM,Landed 9:45 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,11 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:36,10:35 AM,10:54 AM,1:25 PM,Landed 1:30 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,11 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:45,9:00 AM,9:05 AM,9:55 AM,Landed 9:49 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:37,10:35 AM,11:03 AM,1:25 PM,Landed 1:40 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jun 2024,—,—,(DTL181),-,—,—,—,Unknown,gray
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:45,9:00 AM,9:24 AM,9:55 AM,Landed 10:09 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jun 2024,Oecusse(OEC),Dili(DIL),8G72,0:31,7:50 AM,8:15 AM,8:07 AM,Landed 8:46 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jun 2024,Dili(DIL),Oecusse(OEC),8G71,0:27,7:00 AM,7:09 AM,7:17 AM,Landed 7:36 AM,yellow
