file_name,total_planeIDs,planeIDs_without_jan2024,planeIDs_with_jan2024,planeIDs_without_jan2024_list
air-japan_nq-ajx.csv,2,0,2,[]
air-macau_nx-amu.csv,19,1,18,['B-MCL']
air-new-zealand_nz-anz.csv,111,19,92,"['ZK-OYB', 'ZK-OYC', 'ZK-OYE', 'ZK-OXG', 'ZK-MZG', 'ZK-OKV', 'ZK-OKW', 'ZK-NEF', 'ZK-NEG', 'ZK-NEH', 'ZK-NEJ', 'ZK-NEK', 'ZK-NEM', 'ZK-NEO', 'ZK-NEP', 'ZK-NEQ', 'ZK-NER', 'ZK-NES']"
all-nippon-airways_nh-ana.csv,237,24,213,"['JA132A', 'JA133A', 'JA134A', 'JA142A', 'JA144A', 'JA148A', 'JA149A', 'JA150A', 'JA152A', 'JA214A', 'JA143A', 'JA86AN', 'JA787A', 'JA816A', 'JA831A', 'JA812A', 'JA926A', 'JA927A', 'JA981A', 'JA982A', 'JA983A', 'JA984A', 'JA985A', 'JA842A']"
#japan-airlines_jl-jal.csv,146,92,54,"['JA01XJ', 'JA02XJ', 'JA04XJ', 'JA05XJ', 'JA06XJ', 'JA07XJ', 'JA08XJ', 'JA09XJ', 'JA14XJ', 'JA15XJ', 'JA03WJ', 'JA04WJ', 'JA05WJ', 'JA06WJ', 'JA08WJ', 'JA301J', 'JA304J', 'JA305J', 'JA306J', 'JA308J', 'JA309J', 'JA311J', 'JA314J', 'JA318J', 'JA320J', 'JA321J', 'JA322J', 'JA323J', 'JA327J', 'JA328J', 'JA329J', 'JA330J', 'JA331J', 'JA333J', 'JA334J', 'JA335J', 'JA336J', 'JA338J', 'JA339J', 'JA342J', 'JA343J', 'JA344J', 'JA346J', 'JA601J', 'JA602J', 'JA603J', 'JA607J', 'JA610J', 'JA611J', 'JA612J', 'JA613J', 'JA614J', 'JA615J', 'JA618J', 'JA619J', 'JA620J', 'JA622J', 'JA623J', 'JA653J', 'JA654J', 'JA655J', 'JA656J', 'JA657J', 'JA658J', 'JA659J', 'JA736J', 'JA821J', 'JA823J', 'JA829J', 'JA830J', 'JA831J', 'JA832J', 'JA833J', 'JA834J', 'JA835J', 'JA837J', 'JA838J', 'JA840J', 'JA841J', 'JA842J', 'JA843J', 'JA845J', 'JA846J', 'JA847J', 'JA848J', 'JA849J', 'JA869J', 'JA873J', 'JA874J', 'JA875J', 'JA876J', 'JA878J']"
#peach_mm-apj.csv,36,28,8,"['JA201P', 'JA203P', 'JA205P', 'JA206P', 'JA207P', 'JA208P', 'JA209P', 'JA210P', 'JA211P', 'JA212P', 'JA213P', 'JA214P', 'JA215P', 'JA216P', 'JA218P', 'JA901P', 'JA902P', 'JA903P', 'JA11VA', 'JA12VA', 'JA15VA', 'JA818P', 'JA819P', 'JA822P', 'JA823P', 'JA824P', 'JA825P', 'JA827P']"
#singapore-airlines_sq-sia.csv,154,86,68,"['9V-SHB', '9V-SHC', '9V-SHD', '9V-SHE', '9V-SHF', '9V-SHG', '9V-SHH', '9V-SHI', '9V-SHJ', '9V-SHL', '9V-SHP', '9V-SHQ', '9V-SHR', '9V-SHS', '9V-SHT', '9V-SHU', '9V-SHV', '9V-SHY', '9V-SJA', '9V-SJF', '9V-SJH', '9V-SJI', '9V-SMB', '9V-SMD', '9V-SME', '9V-SMF', '9V-SMG', '9V-SMH', '9V-SMK', '9V-SMM', '9V-SMO', '9V-SMP', '9V-SMQ', '9V-SMR', '9V-SMW', '9V-SKM', '9V-MBB', '9V-MBC', '9V-MBD', '9V-MBE', '9V-MBF', '9V-MBH', '9V-MBI', '9V-MBJ', '9V-MBK', '9V-MBL', '9V-MBM', '9V-MBN', '9V-MBO', '9V-MBP', '9V-MGE', '9V-MGL', '9V-MGM', '9V-MGN', '9V-SFK', '9V-SFM', '9V-SFN', '9V-SFQ', '9V-SNB', '9V-SNC', '9V-SWB', '9V-SWH', '9V-SWI', '9V-SWM', '9V-SWS', '9V-SWT', '9V-SWU', '9V-SWW', '9V-SCA', '9V-SCB', '9V-SCD', '9V-SCG', '9V-SCI', '9V-SCL', '9V-SCM', '9V-SCO', '9V-SCP', '9V-SCQ', '9V-SCR', '9V-SCS', '9V-SCU', '9V-SCV', '9V-SCW', '9V-SCY', '9V-SCZ', '9V-SDA']"
