planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,02 May 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:57,1:35 PM,2:08 PM,4:10 PM,green,Landed 4:05 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,02 May 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:59,9:55 AM,10:16 AM,12:25 PM,green,Landed 12:15 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,01 May 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:13,11:45 PM,12:05 AM,8:05 AM,green,Landed 7:18 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,01 May 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:15,6:00 PM,6:22 PM,10:45 PM,green,Landed 10:38 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,01 May 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:55,1:35 PM,2:30 PM,4:10 PM,green,Landed 4:25 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,01 May 2024,Tokyo (NRT),Seoul (ICN),NQ21,2:11,9:55 AM,10:09 AM,12:25 PM,green,Landed 12:21 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,30 Apr 2024,Singapore (SIN),Tokyo (NRT),NQ4,6:12,12:55 AM,1:35 AM,9:10 AM,green,Landed 8:48 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,29 Apr 2024,Tokyo (NRT),Singapore (SIN),NQ3,6:45,5:35 PM,6:08 PM,11:55 PM,green,Landed 11:54 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,29 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:52,1:35 PM,2:19 PM,4:10 PM,green,Landed 4:11 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,29 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,2:05,9:55 AM,10:20 AM,12:25 PM,green,Landed 12:25 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,28 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:13,11:45 PM,12:40 AM,8:05 AM,green,Landed 7:53 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,28 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:10,6:00 PM,6:29 PM,10:45 PM,green,Landed 10:39 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,28 Apr 2024,Singapore (SIN),Tokyo (NRT),NQ4,6:00,12:55 AM,1:12 AM,9:10 AM,green,Landed 8:12 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,27 Apr 2024,Tokyo (NRT),Singapore (SIN),NQ3,6:45,5:35 PM,6:16 PM,11:55 PM,green,Landed 12:01 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,27 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:57,1:35 PM,2:07 PM,4:10 PM,green,Landed 4:04 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,27 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:53,9:55 AM,10:10 AM,12:25 PM,green,Landed 12:03 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,26 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:37,11:45 PM,12:25 AM,8:05 AM,green,Landed 8:02 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,26 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:29,6:00 PM,6:23 PM,10:45 PM,green,Landed 10:52 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,24 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:16,11:45 PM,12:25 AM,8:05 AM,green,Landed 7:42 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,24 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:04,6:00 PM,6:10 PM,10:45 PM,green,Landed 10:14 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,24 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:55,1:35 PM,1:53 PM,4:10 PM,green,Landed 3:48 PM
