Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Airai(ROR),Macau(MFM),KR5562,3:43,6:40 PM,6:53 PM,9:40 PM,Landed 9:36 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Macau(MFM),Airai(ROR),KR5561,3:35,12:30 PM,12:56 PM,5:40 PM,Landed 5:31 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Phnom Penh(PNH),Macau(MFM),KR503,2:03,8:05 AM,8:39 AM,11:35 AM,Landed 11:42 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Kuala Lumpur(KUL),Phnom Penh(PNH),KR782,1:32,6:15 PM,6:21 PM,7:20 PM,Landed 6:53 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Phnom Penh(PNH),Kuala Lumpur(KUL),KR781,1:38,2:20 PM,2:22 PM,5:15 PM,Landed 5:00 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Bangkok(BKK),Phnom Penh(PNH),KR702,0:54,10:35 AM,11:08 AM,11:50 AM,Landed 12:02 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR701,0:53,8:15 AM,8:13 AM,9:30 AM,Landed 9:06 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Shenzhen(SZX),Phnom Penh(PNH),KR930,2:20,4:30 AM,4:58 AM,6:25 AM,Landed 6:18 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,08 Jan 2025,Phnom Penh(PNH),Shenzhen(SZX),KR929,2:08,11:50 PM,12:18 AM,3:30 AM,Landed 3:26 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,08 Jan 2025,Chengdu(TFU),Phnom Penh(PNH),KR962,3:14,1:30 PM,1:37 PM,4:00 PM,Landed 3:51 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,08 Jan 2025,Phnom Penh(PNH),Chengdu(TFU),KR961,3:06,8:10 AM,8:08 AM,12:30 PM,Landed 12:15 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,08 Jan 2025,Guangzhou(CAN),Phnom Penh(PNH),KR938,2:28,3:35 AM,4:28 AM,5:30 AM,Landed 5:57 AM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,07 Jan 2025,Phnom Penh(PNH),Guangzhou(CAN),KR937,2:24,11:00 PM,11:35 PM,2:25 AM,Landed 2:59 AM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,07 Jan 2025,Bangkok(BKK),Phnom Penh(PNH),KR704,0:53,4:20 PM,4:31 PM,5:30 PM,Landed 5:24 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,07 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR703,0:54,2:00 PM,2:11 PM,3:20 PM,Landed 3:05 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,06 Jan 2025,Changsha(CSX),Phnom Penh(PNH),KR942,3:00,11:15 PM,11:31 PM,1:30 AM,Landed 1:31 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,06 Jan 2025,Phnom Penh(PNH),Changsha(CSX),KR941,2:47,6:00 PM,6:09 PM,10:15 PM,Landed 9:55 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,06 Jan 2025,Ningbo(NGB),Phnom Penh(PNH),KR918,3:57,1:30 PM,2:11 PM,4:50 PM,Landed 5:07 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,06 Jan 2025,Phnom Penh(PNH),Ningbo(NGB),KR917,3:33,7:40 AM,7:46 AM,12:30 PM,Landed 12:19 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,05 Jan 2025,Macau(MFM),Phnom Penh(PNH),KR502,2:21,10:40 PM,10:38 PM,12:20 AM,Landed 11:59 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,05 Jan 2025,Airai(ROR),Macau(MFM),KR5562,3:46,6:40 PM,6:43 PM,9:40 PM,Landed 9:29 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,05 Jan 2025,Macau(MFM),Airai(ROR),KR5561,3:30,12:30 PM,1:00 PM,5:40 PM,Landed 5:29 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,05 Jan 2025,Phnom Penh(PNH),Macau(MFM),KR503,2:04,8:05 AM,8:41 AM,11:35 AM,Landed 11:44 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,05 Jan 2025,Guangzhou(CAN),Phnom Penh(PNH),KR938,2:29,3:35 AM,4:51 AM,5:30 AM,Landed 6:20 AM,red
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,04 Jan 2025,Phnom Penh(PNH),Guangzhou(CAN),KR937,2:24,11:00 PM,11:38 PM,2:25 AM,Landed 3:01 AM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,04 Jan 2025,Bangkok(BKK),Phnom Penh(PNH),KR702,0:52,4:20 PM,4:38 PM,5:25 PM,Landed 5:29 PM,green
